ID FACTURE;CODE FOURNISSEUR;NOM FOURNISSEUR;NUM FACTURE;DATE FACTURE;ENTITE FACTURE;ID ENGAGEMENT;MONTANT TTC;DATE INSERTION;STATUT
17-132-506_50530701-66;F27266;PS TESTWARE;17003;31/03/2017;G04;ADSINF;13320;15/05/2017;Correction
17-132-506_50530701-68;F27266;PS TESTWARE;17088;31/03/2017;G04;ADSINF;16560;15/05/2017;Correction
17-132-506_50531801-25;F29432;XEROX SAS;510672268;20/09/2016;G09;ADSINF;938,90;15/05/2017;Correction
17-132-506_50532201-302;F00580;IMPRIMERIE CHAUVEAU;43117;02/05/2017;G09;ADLACC;360;15/05/2017;Correction
17-132-506_50532201-176;F23911;PROXIAD ILE DE FRANCE;IF117049196;30/04/2017;G09;ADSINF;10944;15/05/2017;Correction
17-135-506_50580401-61;F00542;CHRONOPOST SA;26553;30/04/2017;G04;ADLACM;253;16/05/2017;Correction
17-135-506_50580401-101;F09300;2B CONSULTANTS;201704005;28/04/2017;G04;ADSINF;10716;16/05/2017;Correction
17-135-506_50582701-40;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;AG100517;10/05/2017;G09;ADIMEX;360;16/05/2017;Correction
17-138-506_50734401-236;F31409;HERMES TECHNOLOGIES SARL;FACT2017051200189;12/05/2017;G09;ADFORM;252;19/05/2017;Correction
17-138-506_50734401-238;F31409;HERMES TECHNOLOGIES SARL;FACT2017051200187;12/05/2017;G09;ADFORM;2268;19/05/2017;Correction
17-138-506_50735101-24;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;R1750333;28/03/2017;G04;ADRHEC;180;19/05/2017;Correction
17-138-506_50735101-26;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;R1749004;22/04/2017;G04;ADRHEC;180;19/05/2017;Correction
17-138-506_50735101-135;F31409;HERMES TECHNOLOGIES SARL;FACT2017051200188;12/05/2017;G04;ADFORM;108;19/05/2017;Correction
17-138-506_50735101-137;F31409;HERMES TECHNOLOGIES SARL;FACT2017051200186;12/05/2017;G04;ADFORM;972;19/05/2017;Correction
17-139-506_50783301-73;F23483;SCP LE ROUX MORIN BARON WEEGER;201600890;19/09/2016;G09;ASGJFA;540;22/05/2017;Correction
17-139-506_50783301-101;F30447;WIZTOPIC;201605021;02/05/2017;G09;ASGC21;49680;22/05/2017;Correction
17-139-506_50783301-191;F00447;LA POSTE PRELEVEMENT ET SCANLAD;46615154;03/03/2017;G09;ADCORN;464,53;22/05/2017;Correction
17-139-506_50783301-195;F00447;LA POSTE PRELEVEMENT ET SCANLAD;46534413;02/03/2017;G09;ADCOLL;84,20;22/05/2017;Correction
17-139-506_50783301-203;F00447;LA POSTE PRELEVEMENT ET SCANLAD;46470794;07/02/2017;G09;ADCOMK;30;22/05/2017;Correction
17-139-506_50783301-207;F00447;LA POSTE PRELEVEMENT ET SCANLAD;46733513;07/03/2017;G09;ADCOMK;30;22/05/2017;Correction
17-136-506_50632401-29;F01149;CENTRE MEDICAL INTERENTREP EUROPE;735756;29/03/2017;G09;ADRHGP;48930;17/05/2017;Correction
17-136-506_50632201-41;F31265;FOURNISSEUR NON RECONNU AU SCAN;2519506;08/05/2017;G09;ADSINF;228,20;17/05/2017;Correction
17-136-506_50632101-31;F32542;OEIL POUR OEIL;170502;05/05/2017;G04;ADFORM;6000;17/05/2017;Correction
17-136-506_50632101-71;F00155;FIDUCIAL BUREAUTIQUE;5747536;14/04/2017;G04;ADLACM;-4010,47;17/05/2017;Correction
